source_id,target_id
0410110,0410110
0410110,0410103
0410110,0410102
0410110,0410104
0410110,0410109
0410111,0410112
0410111,0410304
0410111,0410111
0410111,0410211
0410111,0410209
0410111,0410201
0410111,0410106
0410111,0410108
0410112,0410112
0410112,0410111
0410112,0410107
0410112,0410106
0410112,0410108
1870202,0610402
1870202,1870501
1870202,1870202
1870202,1870201
1870202,1870401
7700008,7700034
7700008,7700031
7700008,7700033
7700008,7700007
7700008,7700008
7700008,7700002
7700008,7700005
7700008,7700037
0030501,0030406
0030501,0030504
0030501,0030502
0030501,0030501
0030501,0650101
0030501,1090101
0030501,1090102
1930501,1930501
1930501,1930401
1770602,1770204
1770602,1770504
1770602,1770602
1770602,1770603
1770602,1770601
1770602,1770201
1770603,1770204
1770603,1770602
1770603,1770603
1770603,1770601
1770603,1770303
1770603,1770301
1770603,1770302
1770601,1770504
1770601,1770602
1770601,1770603
1770601,1770601
1770601,1770703
1770601,1770704
1770601,1770302
1770601,1770702
1770601,1770103
1530307,1530302
1530307,1530704
1530307,1530306
1530307,1530305
1530307,1530307
1530307,1530610
1530307,1530308
1530307,1530603
0030502,0030101
0030502,0030105
0030502,0030503
0030502,0030504
0030502,0030502
0030502,0030506
0030502,0030501
0030502,1370101
1710503,1710501
1710503,1710503
1710503,1710601
1710503,1710504
1710503,1710401
1710501,1710201
1710501,1710303
1710501,1710501
1710501,1710503
1710501,1710504
1710501,0690102
1710501,1710401
0210302,0210301
0210302,0210302
0210302,0710203
0210302,1550501
0210302,1550402
0210302,0210202
0210302,0210201
0210301,0210401
0210301,0210301
0210301,0210302
0210301,0710203
0210301,0710103
0210301,0210202
0030506,0030603
0030506,0030106
0030506,0030503
0030506,0030502
0030506,0030506
0030506,1370101
0030506,0790201
0030506,0790401
7700001,7700002
7700001,7700030
7700001,7700024
7700001,7700005
7700001,7700001
7700001,7700022
7700001,7700009
7700001,7700016
7700001,7700021
7700001,7700019
8100008,8100077
8100008,8100094
8100008,8100055
8100008,8100009
8100008,8100008
8100008,8100030
